michigan-state,
 Opponent, PointsPerPos Scored, OppPos Allowed, Opp Pos 
michigan,1.179245283018868,63.0,64.632,75.0,63.599999999999994
ohio-state,1.215738284703802,70.0,66.0,77.0,63.33599999999999
wisconsin,1.0244648318042815,55.0,65.544,67.0,65.39999999999999
michigan,1.0816027689030885,60.0,60.192,65.0,60.096

kansas,
 Opponent, PointsPerPos Scored, OppPos Allowed, Opp Pos 
michigan-state,1.1317783682708396,87.0,85.08,92.0,81.288
vermont,1.1864406779661016,68.0,68.232,84.0,70.8
louisiana-lafayette,1.1985563456151693,76.0,73.632,89.0,74.25599999999999
marquette,1.1557396733909702,68.0,67.56,77.0,66.62400000000001
tennessee,1.0898977751052314,81.0,81.672,87.0,79.824
stanford,1.2203058900097625,84.0,76.824,90.0,73.752
wofford,1.0909090909090908,47.0,66.96,72.0,66.0
new-mexico-state,0.9988584474885844,60.0,62.16,63.0,63.072
villanova,1.1635220125786165,71.0,64.34400000000001,74.0,63.599999999999994
south-dakota,1.2340543538546869,53.0,71.208,89.0,72.11999999999999
arizona-state,1.007209499575912,80.0,74.112,76.0,75.45599999999999
eastern-michigan,1.156668793873644,63.0,74.80799999999999,87.0,75.216
oklahoma,0.9664236801413739,63.0,71.208,70.0,72.432
iowa-state,0.8420343550016842,77.0,68.88,60.0,71.25599999999999
texas-christian,1.0719456509633591,68.0,68.32799999999999,77.0,71.832
baylor,1.1379224342187304,68.0,71.16,73.0,64.152
texas,1.3025921583952065,78.0,61.752,80.0,61.416
west-virginia,0.9500059375371097,65.0,65.904,64.0,67.368
iowa-state,1.170823088631308,76.0,69.192,80.0,68.32799999999999
kentucky,0.9761993306061735,71.0,68.088,63.0,64.53599999999999
texas,1.0653409090909092,73.0,61.367999999999995,63.0,59.135999999999996
texas-tech,1.0824290255398443,63.0,68.592,79.0,72.98400000000001
kansas-state,0.9355451295799824,74.0,68.544,67.0,71.61599999999999
oklahoma-state,1.3861386138613863,72.0,62.928,84.0,60.599999999999994
texas-christian,1.0426202827789646,77.0,81.98400000000001,82.0,78.648
west-virginia,1.0898725687458082,53.0,75.0,78.0,71.568
texas-tech,1.0467314964883847,91.0,59.687999999999995,62.0,59.232
kansas-state,1.0748354158269515,49.0,59.879999999999995,64.0,59.544
oklahoma-state,1.0427528675703859,67.0,67.56,72.0,69.048
oklahoma,0.9292664261506507,81.0,71.472,68.0,73.17599999999999
baylor,1.1092150170648465,70.0,73.34400000000001,78.0,70.32
texas,1.003829997529034,57.0,62.01599999999999,65.0,64.752
west-virginia,1.1812714776632303,74.0,75.912,88.0,74.496
iowa-state,0.9395285275025624,78.0,68.03999999999999,66.0,70.24799999999999

duke,
 Opponent, PointsPerPos Scored, OppPos Allowed, Opp Pos 
kentucky,1.467223714314135,84.0,79.728,118.0,80.424
army,1.2687614728431056,72.0,79.992,94.0,74.088
eastern-michigan,1.172922252010724,46.0,69.52799999999999,84.0,71.61599999999999
san-diego-state,1.24750499001996,64.0,69.912,90.0,72.144
auburn,1.1749819233550254,72.0,70.34400000000001,78.0,66.384
gonzaga,1.1716224951519072,89.0,69.144,87.0,74.25599999999999
indiana,1.1751801942964588,69.0,80.52,90.0,76.584
stetson,1.3921742558643802,49.0,78.88799999999999,113.0,81.16799999999999
hartford,1.1796427367711493,54.0,74.184,84.0,71.208
yale,1.1321787598288047,58.0,80.856,91.0,80.37599999999999
princeton,1.4051196438508626,50.0,75.696,101.0,71.88
texas-tech,0.8778625954198473,58.0,76.96799999999999,69.0,78.6
clemson,1.177330302046119,68.0,72.672,87.0,73.89599999999999
wake-forest,1.2148123324396785,65.0,75.16799999999999,87.0,71.61599999999999
