northern-iowa,65,56,27,5,10,218
texas-arlington,74,51,31,7,13,218
oklahoma-state,64,50,18,5,14,219
charlotte,66,46,21,6,20,219
portland,73,52,21,6,9,220
north-texas,78,53,18,6,8,220
presbyterian,80,65,9,9,12,221
tennessee-tech,65,53,25,8,15,221
south-carolina-state,52,58,15,10,9,222
tulsa,74,50,19,7,14,222
southeast-missouri-state,57,57,25,11,15,223
bradley,68,49,32,8,12,223
southern,53,46,21,4,20,224
baylor,80,63,21,14,9,224
southern-utah,66,68,17,11,9,225
san-jose-state,59,48,27,5,17,225
tennessee-martin,71,59,23,7,13,226
western-kentucky,86,65,21,12,12,226
tennessee-state,79,70,13,5,14,227
lipscomb,86,57,31,6,18,227
troy,58,54,15,5,14,228
saint-louis,62,55,25,12,11,228
wagner,84,70,24,13,10,229
massachusetts-lowell,88,63,30,9,13,229
western-michigan,64,49,21,6,24,230
mississippi,90,61,18,10,11,230
william-mary,70,57,18,11,16,231
duquesne,84,61,13,7,7,231
winthrop,94,63,22,12,18,232
southern-illinois-edwardsville,82,67,25,14,16,232
wofford,68,55,8,12,12,233
high-point,60,46,13,6,13,233
wright-state,54,55,17,6,11,234
murray-state,73,50,14,12,20,234
wyoming,64,57,20,7,12,235
oregon-state,83,63,21,15,12,235
army,72,78,7,8,10,236
duke,94,72,13,12,11,236
george-washington,57,45,23,5,15,237
virginia,76,55,13,5,11,237
florida-gulf-coast,82,62,27,6,14,238
michigan-state,106,77,23,19,15,238
florida-state,80,60,24,10,14,239
tulane,69,52,24,4,17,239
hartford,59,49,11,8,21,240
mississippi-state,77,66,9,15,12,240
oral-roberts,62,63,18,10,13,241
texas-christian,79,57,20,8,16,241
appalachian-state,73,51,25,9,21,242
alabama,81,65,43,21,9,242
brown,60,56,21,9,14,243
njit,63,50,16,7,16,243
bryant,59,51,25,6,13,244
seattle,82,65,23,13,13,244
cal-poly,61,60,9,5,17,245
arizona,82,70,14,12,7,245
california-santa-barbara,63,54,27,8,12,246
north-dakota-state,82,55,22,4,9,246
colgate,73,64,11,6,10,247
cornell,57,59,17,7,14,247
dartmouth,82,51,23,6,10,248
loyola-md,80,63,20,9,8,248
drexel,66,59,14,7,17,249
rutgers,95,63,26,12,14,249
east-tennessee-state,69,67,3,14,19,250
creighton,75,48,16,2,16,250
florida-atlantic,80,67,18,15,13,251
central-florida,79,56,26,9,12,251
green-bay,82,69,16,11,20,252
iowa,93,53,45,6,17,252
hofstra,72,60,19,12,19,253
marshall,76,62,14,9,14,253
ipfw,61,65,17,10,15,254
ohio-state,107,56,28,6,11,254
lamar,78,69,20,8,15,255
east-carolina,84,62,36,10,12,255
missouri-kansas-city,66,50,27,5,18,256
connecticut,94,65,18,11,12,256
nicholls-state,72,66,10,11,18,257
washington-state,89,70,19,11,8,257
north-texas,68,55,14,8,11,258
hawaii,51,52,13,9,17,258
sam-houston-state,69,55,24,6,13,259
louisiana-tech,76,48,39,14,17,259
southeastern-louisiana,35,56,4,6,25,260
nebraska,87,55,22,6,15,260
southern-mississippi,74,55,9,7,11,261
southern-methodist,64,58,9,10,10,261
st-francis-ny,69,51,21,7,11,262
boston-college,74,50,37,9,13,262
stetson,70,74,13,13,18,263
missouri-state,83,56,38,11,17,263
utah-valley,63,54,11,5,15,264
saint-marys-ca,92,56,25,9,8,264
vanderbilt,82,71,30,16,14,265
southern-california,78,81,18,18,11,265
vermont,68,56,17,5,12,266
kansas,84,63,10,7,13,266
stanford,72,67,15,9,14,267
north-carolina,90,71,21,10,12,267
denver,56,52,16,4,17,268
kansas-state,64,60,27,11,9,268
buffalo,62,62,12,16,13,269
southern-illinois,53,52,12,6,17,269
alabama-am,59,64,13,10,10,270
rice,73,44,22,4,17,270
american,51,50,17,4,15,271
northwestern,63,58,24,11,9,271
austin-peay,70,55,36,9,18,272
south-florida,74,58,41,14,18,272
bowling-green-state,61,54,27,15,25,273
virginia-commonwealth,72,58,28,11,15,273
california-davis,58,56,18,9,24,274
arkansas,81,49,41,5,15,274
campbell,73,55,23,7,12,275
ohio,81,53,33,10,12,275
detroit-mercy,63,52,20,6,18,276
butler,84,56,23,5,13,276
illinois-chicago,88,60,18,8,20,277
duquesne,89,74,24,17,12,277
jacksonville,59,54,20,6,12,278
grand-canyon,76,65,23,18,15,278
jacksonville-state,61,58,16,12,16,279
penn-state,76,64,21,12,6,279
kennesaw-state,60,61,10,11,9,280
samford,74,58,11,7,7,280
long-beach-state,58,62,24,7,15,281
arizona-state,90,65,36,16,17,281
louisiana-monroe,55,57,12,6,14,282
texas,65,62,11,9,9,282
manhattan,52,49,9,6,21,283
maryland-baltimore-county,75,53,13,9,16,283
middle-tennessee,73,65,19,13,21,284
belmont,92,65,24,6,13,284
monmouth,63,54,14,2,9,285
saint-josephs,78,68,22,14,6,285
morgan-state,63,60,23,4,12,286
depaul,91,68,12,13,17,286
north-carolina-at,59,61,9,7,12,287
maryland,82,66,16,13,12,287
northern-arizona,74,54,28,5,14,288
south-dakota,90,55,27,4,11,288
oklahoma,87,69,11,9,14,289
texas-san-antonio,67,73,7,12,20,289
prairie-view,80,61,25,11,11,290
baylor,91,51,27,4,16,290
san-diego,63,53,11,8,17,291
washington,66,56,17,9,8,291
st-bonaventure,72,68,3,9,14,292
niagara,80,62,25,14,12,292
texas-pan-american,76,63,22,12,7,293
texas-am-corpus-christi,69,54,20,11,12,293
texas-southern,73,74,15,10,10,294
iowa-state,85,58,30,10,16,294
troy,75,63,28,10,7,295
pittsburgh,84,60,17,7,9,295
utah,69,60,19,7,12,296
minnesota,78,56,18,6,10,296
georgia-tech,53,58,21,7,13,297
tennessee,66,48,38,11,12,297
memphis,76,64,20,10,14,298
louisiana-state,85,63,16,13,14,298
arkansas-little-rock,83,58,19,8,16,299
tennessee-state,67,61,14,10,17,299
cal-state-northridge,64,55,28,9,15,300
loyola-marymount,79,55,23,10,20,300
california-baptist,70,67,20,13,5,301
oral-roberts,69,54,20,7,16,301
california-riverside,51,48,7,6,20,302
nevada-las-vegas,72,50,33,10,13,302
canisius,82,57,25,6,12,303
bucknell,73,53,20,4,15,303
chicago-state,71,60,28,10,11,304
illinois-state,75,61,19,9,12,304
coastal-carolina,76,65,26,13,13,305
tulane,81,53,32,8,17,305
delaware-state,62,62,27,9,13,306
loyola-md,91,68,28,14,10,306
drake,71,62,21,5,13,307
colorado,100,56,37,8,12,307
gardner-webb,86,64,20,5,11,308
furman,88,66,17,7,11,308
george-mason,89,58,19,7,22,309
georgia-southern,98,56,48,4,9,309
georgetown,88,61,16,10,22,310
illinois,80,67,17,8,14,310
georgia,77,55,22,3,17,311
temple,81,69,18,7,10,311
hampton,66,71,22,12,9,312
california,80,52,27,5,10,312
harvard,74,58,12,7,10,313
massachusetts,71,59,15,7,9,313
holy-cross,61,61,11,10,12,314
providence,70,59,18,11,13,314
iona,83,60,36,9,14,315
new-mexico,90,53,38,8,19,315
lafayette,61,52,3,2,18,316
pennsylvania,91,61,9,4,9,316
long-island-university,89,60,20,6,9,317
fairfield,87,61,21,12,12,317
longwood,66,39,22,3,16,318
maryland-eastern-shore,63,58,15,8,9,318
marist,72,55,14,2,12,319
lehigh,78,60,10,7,12,319
massachusetts-lowell,74,59,18,12,16,320
central-connecticut-state,86,55,18,8,15,320
mercer,60,58,10,9,13,321
georgia-state,62,54,6,6,14,321
milwaukee,83,70,21,12,21,322
florida-international,86,73,27,12,13,322
mississippi-valley-state,59,61,14,4,12,323
utah-state,94,50,31,6,12,323
nicholls-state,83,59,24,6,9,324
idaho,80,63,13,10,18,324
norfolk-state,64,47,22,3,15,325
south-carolina,81,54,21,4,14,325
north-alabama,58,56,19,6,14,326
saint-louis,69,51,27,3,8,326
north-carolina-asheville,49,51,16,2,21,327
north-carolina-state,100,69,25,13,15,327
north-carolina-central,51,47,12,8,14,328
cincinnati,73,53,12,6,11,328
north-carolina-greensboro,82,60,10,6,14,329
north-carolina-wilmington,61,54,14,8,18,329
northwestern-state,57,64,15,8,14,330
brigham-young,82,58,25,7,15,330
pepperdine,80,63,23,10,11,331
northern-colorado,88,59,32,8,17,331
rhode-island,55,64,16,13,9,332
college-of-charleston,66,48,27,7,12,332
south-carolina-state,72,55,15,5,20,333
charleston-southern,89,62,29,8,8,333
southeastern-louisiana,40,46,18,3,14,334
texas-tech,59,52,16,5,11,334
southern,54,46,24,8,22,335
louisville,104,55,39,14,13,335
stephen-f-austin,58,61,7,13,17,336
miami-fl,96,69,18,16,8,336
tennessee-tech,83,76,9,8,23,337
savannah-state,97,79,27,18,23,337
western-michigan,85,62,32,9,14,338
oakland,77,67,24,6,13,338
wisconsin,77,62,13,12,7,339
xavier,68,59,16,8,10,339
