saint-francis-pa
Opponent,Location,gameid
navy,-1,414
lehigh,-1,415
american,1,416
loyola-md,1,417
bucknell,-1,418

indiana-state
Opponent,Location,gameid
ball-state,-1,419
green-bay,-1,420
western-kentucky,1,421
san-jose-state,-1,422
wright-state,1,423
north-texas,1,424
texas-christian,-1,425
colorado,0,426
nevada-las-vegas,0,427
texas-christian,0,428
loyola-il,-1,429
bradley,1,430
missouri-state,1,431
evansville,-1,432
northern-iowa,-1,433
loyola-il,1,434
valparaiso,1,435
illinois-state,-1,436
southern-illinois,-1,437
drake,1,438
evansville,1,439
bradley,-1,440
valparaiso,-1,441
southern-illinois,1,442
illinois-state,1,443
missouri-state,-1,444
drake,-1,445
northern-iowa,1,446

ball-state
Opponent,Location,gameid
indiana-state,1,447
purdue,-1,448
virginia-tech,0,449
alabama,0,450
appalachian-state,0,451
evansville,1,452
iupui,-1,453
loyola-il,-1,454
evansville,-1,455
valparaiso,-1,456
howard,1,457
delaware-state,1,458
toledo,-1,459
eastern-michigan,1,460
ohio,1,461
bowling-green-state,-1,462
central-michigan,-1,463
miami-oh,1,464
ohio,-1,465
buffalo,-1,466
kent-state,1,467
northern-illinois,-1,468
western-michigan,1,469
akron,1,470
miami-oh,-1,471
central-michigan,1,472
toledo,1,473
western-michigan,-1,474
eastern-michigan,-1,475
northern-illinois,1,476

milwaukee
Opponent,Location,gameid
boston-college,-1,477
north-dakota,1,478
florida-international,-1,479
cincinnati,-1,480
long-island-university,1,481
albany-ny,1,482
buffalo,0,483
stephen-f-austin,0,484
drake,1,485
north-dakota,-1,486
missouri-kansas-city,-1,487
western-michigan,-1,488
green-bay,1,489
cleveland-state,1,490
youngstown-state,1,491
oakland,-1,492
detroit-mercy,-1,493
illinois-chicago,1,494
iupui,1,495
wright-state,-1,496
northern-kentucky,-1,497
green-bay,-1,498
youngstown-state,-1,499
cleveland-state,-1,500
detroit-mercy,1,501
oakland,1,502
iupui,-1,503
illinois-chicago,-1,504
northern-kentucky,1,505
wright-state,1,506

boston-college
Opponent,Location,gameid
milwaukee,1,507
st-francis-ny,1,508
iupui,1,509
wyoming,0,510
loyola-il,0,511
minnesota,1,512
sacred-heart,1,513
providence,1,514
columbia,1,515
fairfield,1,516
depaul,-1,517
hartford,1,518
virginia-tech,-1,519
virginia,1,520
notre-dame,-1,521
louisville,-1,522
florida-state,1,523
wake-forest,-1,524
syracuse,1,525
notre-dame,1,526
duke,-1,527
syracuse,-1,528
pittsburgh,1,529
miami-fl,1,530
north-carolina-state,-1,531
clemson,-1,532
louisville,1,533
georgia-tech,-1,534
north-carolina,1,535
north-carolina-state,1,536

north-carolina-wilmington
Opponent,Location,gameid
campbell,-1,537
stanford,1,538
north-carolina-greensboro,1,539
arkansas-state,0,540
gardner-webb,0,541
eastern-illinois,0,542
east-carolina,1,543
davidson,1,544
north-carolina,-1,545
furman,-1,546
georgia-state,-1,547
mercer,-1,548
college-of-charleston,1,549
james-madison,-1,550
towson,-1,551
delaware,1,552
drexel,1,553
hofstra,-1,554
northeastern,-1,555
william-mary,1,556
elon,1,557
towson,1,558
james-madison,1,559
drexel,-1,560
delaware,-1,561
northeastern,1,562
hofstra,1,563
elon,-1,564
william-mary,-1,565
college-of-charleston,-1,566

campbell
Opponent,Location,gameid
north-carolina-wilmington,1,567
coastal-carolina,1,568
ohio,-1,569
florida-am,0,570
austin-peay,0,571
georgetown,-1,572
abilene-christian,-1,573
citadel,1,574
austin-peay,0,575
alabama-state,0,576
miami-fl,-1,577
gardner-webb,1,578
winthrop,1,579
north-carolina-asheville,-1,580
charleston-southern,-1,581
presbyterian,1,582
hampton,-1,583
radford,-1,584
longwood,1,585
high-point,-1,586
south-carolina-upstate,1,587
hampton,1,588
presbyterian,-1,589
high-point,1,590
longwood,-1,591
south-carolina-upstate,-1,592
radford,1,593

chattanooga
Opponent,Location,gameid
charlotte,-1,594
eastern-kentucky,1,595
south-alabama,-1,596
southeast-missouri-state,0,597
jacksonville,0,598
michigan,-1,599
tennessee-tech,1,600
virginia-military-institute,1,601
georgia-state,-1,602
mississippi,-1,603
tennessee-martin,-1,604
north-carolina-greensboro,-1,605
western-carolina,-1,606
east-tennessee-state,-1,607
samford,1,608
mercer,1,609
citadel,1,610
furman,-1,611
wofford,-1,612
western-carolina,1,613
east-tennessee-state,1,614
virginia-military-institute,-1,615
north-carolina-greensboro,1,616
samford,-1,617
citadel,-1,618
mercer,-1,619
wofford,1,620
furman,1,621

charlotte
Opponent,Location,gameid
chattanooga,1,622
oklahoma-state,1,623
james-madison,1,624
longwood,1,625
davidson,-1,626
college-of-charleston,-1,627
wake-forest,-1,628
east-carolina,1,629
texas-christian,0,630
rhode-island,0,631
colorado,0,632
western-kentucky,1,633
marshall,1,634
florida-international,-1,635
florida-atlantic,-1,636
southern-mississippi,1,637
louisiana-tech,1,638
old-dominion,1,639
texas-san-antonio,-1,640
texas-el-paso,-1,641
rice,1,642
north-texas,1,643
middle-tennessee,-1,644
alabama-birmingham,-1,645
old-dominion,-1,646

citadel
Opponent,Location,gameid
clemson,-1,647
texas,-1,648
james-madison,-1,649
south-florida,-1,650
high-point,1,651
mercer,1,652
southeast-missouri-state,1,653
campbell,-1,654
longwood,1,655
wofford,-1,656
furman,-1,657
east-tennessee-state,1,658
western-carolina,1,659
samford,-1,660
chattanooga,-1,661
north-carolina-greensboro,-1,662
virginia-military-institute,1,663
furman,1,664
wofford,1,665
mercer,-1,666
east-tennessee-state,-1,667
western-carolina,-1,668
chattanooga,1,669
samford,1,670
north-carolina-greensboro,1,671
virginia-military-institute,-1,672

clemson
Opponent,Location,gameid
citadel,1,673
north-carolina-central,1,674
sam-houston-state,1,675
akron,0,676
georgia,0,677
creighton,0,678
nebraska,1,679
saint-peters,1,680
mississippi-state,0,681
radford,1,682
charleston-southern,1,683
south-carolina,-1,684
lipscomb,1,685
duke,-1,686
syracuse,-1,687
virginia,1,688
georgia-tech,1,689
florida-state,-1,690
north-carolina-state,-1,691
pittsburgh,1,692
wake-forest,1,693
georgia-tech,-1,694
virginia-tech,1,695
miami-fl,-1,696
louisville,-1,697
florida-state,1,698
boston-college,1,699
pittsburgh,-1,700
north-carolina,1,701
notre-dame,-1,702
syracuse,1,703

presbyterian
Opponent,Location,gameid
college-of-charleston,-1,704
tennessee-tech,-1,705
marquette,-1,706
ucla,-1,707
st-francis-ny,1,708
north-carolina-at,-1,709
jacksonville,1,710
virginia-military-institute,1,711
butler,-1,712
dayton,-1,713
