saint-francis-pa,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
south-dakota-state,1.0068027210884354,1.0770279481935925,74.0,73.5
delaware-state,1.1269389047166827,0.5983450031826862,89.0,78.975
jacksonville,1.0421666095303395,0.8489208633093526,76.0,72.925
arkansas-state,1.204894885472231,0.993103448275862,96.0,79.675

south-dakota-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
grand-canyon,1.0770279481935925,1.0068027210884354,79.0,73.35
alabama-state,1.2023121387283238,0.9520093640265314,78.0,64.875
florida-gulf-coast,1.0182767624020888,1.0707456978967496,78.0,76.6
tulane,1.1099549080818591,1.0509852987175476,80.0,72.075

pacific,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
southern-illinois-edwardsville,1.0356892932120363,0.8626410086264101,74.0,71.45
nevada,0.8758076094759512,1.2420501309390197,61.0,69.65
idaho-state,1.2107950401167031,1.1528251801289344,83.0,68.55

southern-illinois-edwardsville,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
pacific,0.8626410086264101,1.0356892932120363,65.0,75.35
winthrop,1.0139103554868625,1.1831340465701699,82.0,80.875

eastern-illinois,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
texas,0.8132322536181944,0.993006993006993,59.0,72.55
iupui,0.8513425016371972,0.9128897460623593,65.0,76.35
western-illinois,0.8720743828150048,0.8160741885625966,68.0,77.975

texas,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
eastern-illinois,0.993006993006993,0.8132322536181944,71.0,71.5
arkansas,0.8984615384615384,0.8830845771144278,73.0,81.25
louisiana-monroe,0.9669021941242099,0.7779349363507779,65.0,67.225
citadel,1.207970112079701,0.8396714329175541,97.0,80.3

alcorn-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
tulsa,0.827178729689808,1.03988603988604,56.0,67.7
vanderbilt,0.7369498464687819,1.0664866689166386,54.0,73.275
kent-state,0.6938923021322733,1.0881542699724518,48.0,69.175

tulsa,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
alcorn-state,1.03988603988604,0.827178729689808,73.0,70.2
south-carolina-state,1.120787580461946,0.8109161793372319,74.0,66.025
california-baptist,1.1232876712328768,1.0522810522810522,82.0,73.0
arkansas-little-rock,1.0794234897270776,0.9713574097135741,88.0,81.525

louisiana-tech,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
wichita-state,0.9575185434929196,0.790729379686435,71.0,74.15
sam-houston-state,1.0931319669183746,0.9400544959128064,76.0,69.525
louisiana-state,0.9282992726013163,1.0720753350235421,67.0,72.175

wichita-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
louisiana-tech,0.790729379686435,0.9575185434929196,58.0,73.35
providence,1.1365970558028071,1.0906612133606,83.0,73.025
davidson,0.7703488372093024,0.8552138034508626,53.0,68.8
appalachian-state,1.2045538009548291,1.0644257703081232,82.0,68.075
alabama,1.2316505549588257,1.2917115177610334,86.0,69.825

coppin-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
wisconsin,0.8559782608695653,1.2620638455827766,63.0,73.6
dayton,0.6123128119800333,1.0194500335345407,46.0,75.125
navy,0.8513761467889909,1.1155378486055776,58.0,68.125
virginia,0.6451612903225806,1.5126705653021442,40.0,62.0
rider,0.8535031847133758,1.0834371108343712,67.0,78.5

wisconsin,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
coppin-state,1.2620638455827766,0.8559782608695653,85.0,67.35
xavier,1.218836565096953,0.9912536443148688,77.0,63.175
houston-baptist,1.299492385786802,0.8005427408412483,96.0,73.875

iupui,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
xavier,0.9157266091572661,1.09296901032989,69.0,75.35
eastern-illinois,0.9128897460623593,0.8513425016371972,71.0,77.775
boston-college,1.103448275862069,0.9888928699390899,76.0,68.875
richmond,1.0347376201034737,1.0572687224669604,70.0,67.65

xavier,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
iupui,1.09296901032989,0.9157266091572661,82.0,75.025
evansville,1.2866737363025804,1.1556764106050306,91.0,70.725
wisconsin,0.9912536443148688,1.218836565096953,68.0,68.6
auburn,1.0076530612244898,1.1369509043927648,79.0,78.4

south-alabama,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
auburn,0.800552104899931,1.3529805760214333,58.0,72.45
chattanooga,0.9652892561983472,0.7116968698517299,73.0,75.625
jacksonville,0.6293018682399213,0.976280508765899,48.0,76.275
southeast-missouri-state,1.097603334491143,0.8100558659217878,79.0,71.975

auburn,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
south-alabama,1.3529805760214333,0.800552104899931,101.0,74.65
washington,1.1745078411745078,0.969518912963643,88.0,74.925
xavier,1.1369509043927648,1.0076530612244898,88.0,77.4

texas-southern,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
baylor,1.0438564697354116,0.982556069775721,72.0,68.975
gonzaga,0.7831677381648159,1.2702290076335878,67.0,85.55
iowa-state,0.8998459167950693,1.0862619808306708,73.0,81.125
san-diego-state,0.7945375543140907,1.239470517448857,64.0,80.55
evansville,0.7451212300413956,1.012206013694552,63.0,84.55

baylor,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
texas-southern,0.982556069775721,1.0438564697354116,69.0,70.225
southern,1.1769032732622289,0.7363667940257034,80.0,67.975
prairie-view,1.2001318826244642,0.9930178432893716,91.0,75.825
nicholls-state,1.1663066954643628,0.787746170678337,81.0,69.45

maine,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
denver,0.7908264136022143,1.0124548011249497,50.0,63.225
utah,0.8751793400286944,1.0865628395508873,61.0,69.7
san-francisco,0.7773027594247959,1.410693970420933,50.0,64.325
